id;name;peb;peq
UCI1;Cidade Industrial - 1º Turno;1;1
UCI2;Cidade Industrial - 2º Turno;2;1
UCL1;Calafate - 1º Turno;1;1
UCL2;Calafate - 2º Turno;3;1
UCP1;Carlos Prates - 1º Turno;1;1
UCP2;Carlos Prates - 2º Turno;3;3
UCT1;Central - 1º Turno;2;2
UCT2;Central - 2º Turno;4;3
UEL1;Eldorado - 1º Turno;4;2
UEL2;Eldorado - 2º Turno;3;2
UFL1;Floramar - 1º Turno;2;1
UFL2;Floramar - 2º Turno;2;1
UGM1;Gameleira - 1º Turno;1;1
UGM2;Gameleira - 2º Turno;2;2
UHF1;Horto Florestal - 1º Turno;2;1
UHF2;Horto Florestal - 2º Turno;2;2
UJC1;Jose Cºndido - 1º Turno;2;1
UJC2;Jose Cºndido - 2º Turno;2;2
ULG1;Lagoinha - 1º Turno;2;2
ULG2;Lagoinha - 2º Turno;3;2
UMS1;Minas Shopping - 1º Turno;2;1
UMS2;Minas Shopping - 2º Turno;3;2
UPM1;Primeiro de Maio - 1º Turno;2;1
UPM2;Primeiro de Maio - 2º Turno;2;1
USE1;Santa Efigºnia - 1º Turno;2;1
USE2;Santa Efigºnia - 2º Turno;3;2
USG1;Sºo Gabriel - 1º Turno;3;2
USG2;Sºo Gabriel - 2º Turno;2;2
USI1;Santa Inºs - 1º Turno;2;1
USI2;Santa Inºs - 2º Turno;2;2
UST1;Santa Tereza - 1º Turno;2;1
UST2;Santa Tereza - 2º Turno;2;2
UVL1;Vilarinho - 1º Turno;6;3
UVL2;Vilarinho - 2º Turno;5;3
UVO1;Vila Oeste - 1º Turno;1;1
UVO2;Vila Oeste - 2º Turno;2;2
UWL2;Waldomiro Lobo - 2º Turno;2;1
UWL1;Waldomiro Lobo - 1º Turno;2;1
TST;Teste de escala;2;2
